date,zip,confirmed_cases,Age: Unknown,Age: <20,Age: 20-29,Age: 30-39,Age: 40-49,Age: 50-59,Age: 60-69,Age: 70-79,Age: 80+,Gender: Male,Gender: Female,Gender: Unknown/Left Blank,Race: White,Race: Black,Race: Left Blank,Race: Other,Race: Asian,Race: Hispanic,Race: NH/PI*,Race: AI/AN**
2020-4-20,61615,10,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0
2020-4-20,61701,33,0,0,0,0,6,0,9,0,0,10,19,0,6,9,15,0,0,0,0,0
2020-4-20,61704,16,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0
2020-4-20,61705,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-4-20,61761,18,0,0,0,0,0,0,0,0,0,6,11,0,0,0,7,0,0,0,0,0
2020-4-20,61764,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2020-4-20,61801,11,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
2020-4-20,61802,16,0,0,0,0,0,0,6,0,0,7,9,0,9,0,0,0,0,0,0,0
2020-4-20,61820,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-4-20,61821,10,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
2020-4-20,61822,24,0,0,6,0,0,9,0,0,0,9,15,0,13,0,0,0,0,0,0,0
2020-4-20,61853,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
2020-4-20,61874,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
